iter	Passed	Remaining
0	60	60366
1	62	31307
2	65	21773
3	67	16898
4	70	14002
5	72	12062
6	74	10638
7	77	9632
8	80	8828
9	82	8178
10	84	7637
11	87	7195
12	89	6812
13	91	6472
14	94	6194
15	96	5933
16	98	5711
17	101	5515
18	103	5346
19	105	5178
20	107	5033
21	110	4926
22	113	4809
23	115	4695
24	118	4604
25	120	4511
26	122	4422
27	124	4337
28	127	4271
29	129	4192
30	131	4123
31	134	4066
32	136	4003
33	138	3943
34	140	3885
35	143	3852
36	146	3803
37	148	3753
38	150	3711
39	152	3668
40	154	3625
41	157	3582
42	159	3549
43	161	3514
44	163	3479
45	166	3448
46	168	3416
47	170	3385
48	173	3357
49	175	3332
50	177	3308
51	179	3280
52	182	3256
53	184	3237
54	187	3225
55	190	3205
56	193	3196
57	195	3177
58	198	3170
59	202	3165
60	205	3158
61	213	3236
62	216	3221
63	222	3248
64	227	3271
65	229	3254
66	232	3235
67	235	3222
68	237	3209
69	242	3222
70	246	3224
71	249	3217
72	252	3207
73	255	3194
74	258	3183
75	260	3167
76	262	3152
77	265	3141
78	269	3142
79	272	3128
80	274	3117
81	277	3106
82	280	3098
83	283	3087
84	285	3076
85	288	3062
86	290	3048
87	293	3040
88	296	3034
89	299	3029
90	302	3022
91	305	3014
92	308	3008
93	310	2996
94	313	2983
95	315	2972
96	318	2960
97	320	2947
98	323	2942
99	325	2930
100	327	2918
101	330	2907
102	333	2900
103	335	2889
104	338	2881
105	340	2870
106	342	2858
107	344	2847
108	347	2839
109	349	2828
110	351	2817
111	354	2810
112	357	2805
113	359	2795
114	362	2786
115	364	2777
116	366	2766
117	368	2756
118	371	2754
119	374	2745
120	376	2735
121	379	2728
122	381	2718
123	383	2709
124	386	2705
125	389	2701
126	391	2691
127	393	2683
128	396	2677
129	398	2669
130	401	2660
131	403	2655
132	406	2647
133	408	2639
134	411	2634
135	413	2627
136	415	2619
137	418	2614
138	421	2607
139	423	2599
140	425	2591
141	427	2585
142	430	2577
143	432	2570
144	434	2564
145	437	2559
146	439	2552
147	442	2545
148	444	2541
149	447	2534
150	449	2526
151	452	2521
152	454	2516
153	457	2510
154	459	2506
155	462	2500
156	464	2493
157	466	2487
158	468	2480
159	471	2473
160	473	2467
161	476	2462
162	478	2456
163	480	2449
164	482	2443
165	485	2437
166	487	2432
167	490	2427
168	493	2424
169	495	2419
170	497	2413
171	501	2415
172	504	2409
173	506	2403
174	509	2399
175	511	2396
176	514	2393
177	517	2390
178	520	2385
179	522	2380
180	525	2379
181	528	2373
182	530	2368
183	533	2366
184	536	2361
185	538	2356
186	541	2352
187	543	2346
188	545	2340
189	547	2335
190	550	2331
191	552	2325
192	554	2319
193	557	2315
194	559	2309
195	561	2304
196	564	2299
197	567	2297
198	569	2292
199	571	2287
200	574	2282
201	576	2277
202	578	2272
203	582	2271
204	584	2267
205	586	2262
206	589	2257
207	591	2252
208	593	2247
209	600	2257
210	602	2252
211	604	2247
212	606	2242
213	609	2238
214	611	2233
215	614	2230
216	616	2225
217	619	2220
218	621	2216
219	623	2211
220	626	2206
221	628	2201
222	630	2197
223	632	2192
224	635	2188
225	637	2184
226	640	2179
227	642	2174
228	644	2170
229	647	2167
230	649	2163
231	652	2158
232	654	2154
233	656	2149
234	658	2144
235	661	2140
236	663	2136
237	666	2132
238	668	2128
239	670	2124
240	673	2119
241	675	2115
242	677	2110
243	680	2107
244	682	2102
245	684	2098
246	686	2094
247	689	2090
248	691	2086
249	693	2081
250	696	2079
251	699	2075
252	701	2071
253	704	2067
254	706	2063
255	708	2058
256	710	2054
257	713	2050
258	715	2046
259	718	2045
260	720	2040
261	723	2036
262	725	2032
263	728	2029
264	730	2027
265	733	2023
266	735	2020
267	738	2016
268	740	2012
269	742	2008
270	745	2005
271	747	2001
272	749	1997
273	752	1993
274	754	1989
275	757	1985
276	759	1982
277	762	1979
278	764	1976
279	767	1972
280	769	1968
281	771	1964
282	773	1960
283	777	1959
284	779	1955
285	781	1952
286	784	1948
287	787	1945
288	789	1941
289	792	1939
290	794	1936
291	797	1933
292	799	1930
293	802	1926
294	804	1923
295	807	1921
296	810	1918
297	812	1914
298	815	1912
299	819	1911
300	822	1910
301	825	1908
302	828	1904
303	830	1901
304	833	1898
305	835	1894
306	837	1891
307	839	1887
308	842	1883
309	844	1880
310	846	1876
311	849	1872
312	851	1869
313	853	1865
314	856	1862
315	859	1859
316	861	1855
317	863	1851
318	866	1849
319	868	1845
320	870	1842
321	873	1839
322	876	1836
323	878	1832
324	880	1828
325	882	1825
326	885	1822
327	887	1818
328	890	1816
329	892	1812
330	895	1809
331	897	1805
332	899	1802
333	902	1798
334	904	1795
335	907	1793
336	909	1789
337	911	1785
338	914	1782
339	916	1779
340	919	1776
341	921	1772
342	924	1769
343	926	1766
344	928	1762
345	931	1759
346	933	1756
347	935	1752
348	937	1749
349	940	1746
350	942	1743
351	944	1739
352	947	1736
353	949	1733
354	952	1729
355	954	1726
356	956	1723
357	959	1720
358	961	1717
359	964	1714
360	966	1710
361	968	1707
362	971	1704
363	973	1701
364	977	1699
365	979	1697
366	981	1693
367	984	1690
368	986	1687
369	990	1685
370	993	1683
371	995	1680
372	998	1677
373	1000	1674
374	1002	1671
375	1007	1672
376	1011	1671
377	1014	1668
378	1016	1664
379	1018	1661
380	1020	1658
381	1022	1654
382	1025	1651
383	1027	1648
384	1029	1645
385	1032	1641
386	1034	1638
387	1037	1635
388	1039	1632
389	1041	1628
390	1043	1625
391	1045	1622
392	1048	1618
393	1050	1615
394	1052	1612
395	1055	1609
396	1057	1605
397	1059	1602
398	1061	1599
399	1064	1596
400	1066	1592
401	1068	1590
402	1071	1586
403	1073	1583
404	1075	1580
405	1078	1577
406	1080	1574
407	1082	1571
408	1086	1569
409	1088	1566
410	1090	1563
411	1093	1560
412	1095	1557
413	1097	1553
414	1100	1550
415	1102	1547
416	1104	1544
417	1106	1541
418	1109	1538
419	1111	1534
420	1113	1531
421	1116	1528
422	1118	1525
423	1120	1522
424	1123	1519
425	1125	1516
426	1127	1513
427	1129	1509
428	1132	1506
429	1134	1504
430	1136	1500
431	1139	1497
432	1141	1494
433	1143	1491
434	1146	1488
435	1148	1485
436	1151	1483
437	1153	1480
438	1156	1477
439	1159	1475
440	1161	1472
441	1163	1469
442	1166	1466
443	1169	1464
444	1171	1461
445	1174	1458
446	1176	1455
447	1178	1452
448	1180	1449
449	1184	1447
450	1186	1444
451	1189	1441
452	1191	1439
453	1194	1435
454	1196	1432
455	1198	1430
456	1201	1427
457	1203	1424
458	1206	1421
459	1208	1418
460	1210	1415
461	1213	1413
462	1216	1410
463	1219	1408
464	1221	1405
465	1224	1403
466	1227	1400
467	1230	1398
468	1232	1395
469	1235	1393
470	1237	1390
471	1240	1387
472	1242	1384
473	1244	1381
474	1247	1378
475	1250	1376
476	1252	1373
477	1254	1370
478	1257	1367
479	1259	1364
480	1261	1361
481	1264	1359
482	1266	1356
483	1269	1353
484	1271	1350
485	1274	1347
486	1276	1344
487	1278	1341
488	1281	1339
489	1283	1336
490	1286	1333
491	1288	1330
492	1290	1327
493	1292	1324
494	1296	1322
495	1298	1319
496	1301	1316
497	1303	1314
498	1305	1311
499	1308	1308
500	1310	1305
501	1313	1302
502	1315	1299
503	1317	1296
504	1320	1294
505	1322	1291
506	1324	1288
507	1326	1285
508	1329	1282
509	1331	1279
510	1333	1276
511	1336	1273
512	1338	1270
513	1340	1267
514	1343	1264
515	1346	1262
516	1348	1259
517	1350	1256
518	1353	1254
519	1356	1252
520	1358	1249
521	1361	1246
522	1363	1243
523	1365	1240
524	1368	1238
525	1371	1235
526	1373	1232
527	1375	1229
528	1378	1227
529	1381	1224
530	1383	1222
531	1386	1219
532	1388	1216
533	1391	1213
534	1393	1211
535	1396	1208
536	1398	1206
537	1401	1203
538	1407	1204
539	1410	1201
540	1412	1198
541	1414	1195
542	1416	1192
543	1419	1189
544	1421	1186
545	1423	1183
546	1426	1181
547	1428	1178
548	1430	1175
549	1432	1172
550	1435	1169
551	1437	1166
552	1439	1163
553	1442	1161
554	1445	1158
555	1448	1156
556	1451	1154
557	1454	1151
558	1456	1149
559	1468	1153
560	1470	1150
561	1473	1148
562	1475	1145
563	1477	1142
564	1479	1139
565	1481	1136
566	1484	1133
567	1486	1130
568	1488	1127
569	1490	1124
570	1493	1121
571	1495	1119
572	1497	1116
573	1500	1113
574	1502	1110
575	1504	1107
576	1506	1104
577	1508	1101
578	1511	1098
579	1513	1095
580	1515	1092
581	1517	1090
582	1519	1087
583	1522	1084
584	1524	1081
585	1527	1078
586	1529	1075
587	1531	1073
588	1533	1070
589	1536	1067
590	1538	1064
591	1540	1061
592	1542	1059
593	1545	1056
594	1547	1053
595	1549	1050
596	1552	1047
597	1554	1045
598	1557	1042
599	1559	1039
600	1562	1037
601	1564	1034
602	1567	1031
603	1569	1029
604	1572	1026
605	1574	1023
606	1577	1021
607	1579	1018
608	1582	1015
609	1584	1013
610	1586	1010
611	1589	1007
612	1591	1004
613	1593	1002
614	1596	999
615	1598	996
616	1601	993
617	1603	991
618	1605	988
619	1608	985
620	1610	982
621	1612	980
622	1614	977
623	1617	974
624	1619	971
625	1621	968
626	1623	966
627	1626	963
628	1628	960
629	1630	957
630	1633	955
631	1635	952
632	1637	949
633	1640	946
634	1642	943
635	1644	941
636	1646	938
637	1649	935
638	1651	932
639	1653	930
640	1656	927
641	1658	924
642	1660	921
643	1663	919
644	1665	916
645	1667	913
646	1669	911
647	1672	908
648	1674	905
649	1676	902
650	1679	900
651	1681	897
652	1683	894
653	1685	891
654	1688	889
655	1690	886
656	1692	883
657	1695	881
658	1697	878
659	1699	875
660	1701	872
661	1703	869
662	1706	867
663	1708	864
664	1710	861
665	1712	858
666	1714	856
667	1717	853
668	1719	850
669	1721	847
670	1723	845
671	1726	842
672	1728	839
673	1730	836
674	1732	834
675	1734	831
676	1737	828
677	1739	826
678	1741	823
679	1743	820
680	1746	818
681	1748	815
682	1751	812
683	1753	810
684	1755	807
685	1757	804
686	1760	801
687	1762	799
688	1765	796
689	1767	794
690	1769	791
691	1772	788
692	1774	786
693	1776	783
694	1779	780
695	1781	778
696	1784	775
697	1786	773
698	1788	770
699	1791	767
700	1793	765
701	1796	762
702	1798	759
703	1800	757
704	1803	754
705	1805	751
706	1807	749
707	1810	746
708	1812	743
709	1814	741
710	1816	738
711	1818	735
712	1820	732
713	1823	730
714	1825	727
715	1827	725
716	1830	722
717	1832	719
718	1835	717
719	1837	714
720	1840	712
721	1842	709
722	1844	706
723	1846	704
724	1849	701
725	1851	698
726	1853	696
727	1855	693
728	1858	690
729	1860	688
730	1862	685
731	1864	682
732	1867	680
733	1869	677
734	1871	674
735	1873	672
736	1876	669
737	1878	666
738	1880	664
739	1882	661
740	1884	658
741	1887	656
742	1889	653
743	1892	651
744	1894	648
745	1896	645
746	1898	643
747	1901	640
748	1903	637
749	1905	635
750	1908	632
751	1910	629
752	1912	627
753	1914	624
754	1916	622
755	1919	619
756	1921	616
757	1923	614
758	1925	611
759	1928	608
760	1930	606
761	1932	603
762	1934	600
763	1937	598
764	1939	595
765	1941	593
766	1943	590
767	1946	587
768	1948	585
769	1950	582
770	1952	580
771	1955	577
772	1957	574
773	1959	572
774	1962	569
775	1965	567
776	1967	564
777	1970	562
778	1972	559
779	1974	556
780	1977	554
781	1979	551
782	1981	549
783	1984	546
784	1986	544
785	1988	541
786	1991	538
787	1993	536
788	1996	533
789	1999	531
790	2001	528
791	2003	526
792	2005	523
793	2008	520
794	2010	518
795	2012	515
796	2015	513
797	2017	510
798	2019	508
799	2021	505
800	2023	502
801	2026	500
802	2028	497
803	2030	495
804	2032	492
805	2035	489
806	2036	487
807	2038	484
808	2040	481
809	2043	479
810	2045	476
811	2047	474
812	2049	471
813	2052	468
814	2054	466
815	2056	463
816	2058	461
817	2060	458
818	2062	455
819	2064	453
820	2067	450
821	2069	448
822	2071	445
823	2073	442
824	2076	440
825	2078	437
826	2080	435
827	2083	432
828	2085	430
829	2087	427
830	2090	425
831	2092	422
832	2094	419
833	2096	417
834	2099	414
835	2101	412
836	2103	409
837	2105	407
838	2107	404
839	2109	401
840	2112	399
841	2114	396
842	2116	394
843	2118	391
844	2120	389
845	2123	386
846	2125	383
847	2128	381
848	2130	378
849	2132	376
850	2135	373
851	2137	371
852	2139	368
853	2141	366
854	2144	363
855	2146	361
856	2149	358
857	2151	356
858	2153	353
859	2156	350
860	2158	348
861	2160	345
862	2163	343
863	2165	340
864	2167	338
865	2170	335
866	2172	333
867	2175	330
868	2179	328
869	2181	325
870	2183	323
871	2186	320
872	2188	318
873	2191	315
874	2193	313
875	2196	310
876	2198	308
877	2200	305
878	2202	303
879	2205	300
880	2207	298
881	2210	295
882	2212	293
883	2214	290
884	2217	288
885	2219	285
886	2222	283
887	2224	280
888	2226	278
889	2229	275
890	2231	273
891	2234	270
892	2236	267
893	2238	265
894	2241	262
895	2243	260
896	2245	257
897	2248	255
898	2250	252
899	2253	250
900	2255	247
901	2258	245
902	2260	242
903	2262	240
904	2265	237
905	2267	235
906	2270	232
907	2272	230
908	2275	227
909	2277	225
910	2279	222
911	2282	220
912	2285	217
913	2287	215
914	2290	212
915	2292	210
916	2294	207
917	2297	205
918	2299	202
919	2301	200
920	2303	197
921	2306	195
922	2308	192
923	2311	190
924	2313	187
925	2316	185
926	2319	182
927	2321	180
